!,Metadata for Overlay,,,,,,,,,,,
!,Comment,Dome_Name,Generic-----C3MP,,! Auto-generated from following 6 fields.,,,,,,,
&,INFO,REG_ID,Generic,,! Assigned by modeling teams,,,,,,,
&,INFO,Stratum,,,! Assigned by modeling teams,,,,,,,
&,INFO,RAP_ID,,,! Blank for baseline simulation,,,,,,,
&,INFO,MAN_ID,,,! Management ID,,,,,,,
&,INFO,RAP_VER,,,! Blank or zero for baseline simulation. Used for changes to RAP from a previous set of simulations.,,,,,,,
&,INFO,DESCRIPTION,C3MP,,,,,,,,,
,,,,,,,,,,,,
!,CTWN PROTOCOL:,,,,,CO2Y,TMAX,TMIN,RAIN,FEN_TOT,CLIM_ID,
!,,,,,,ppm,oC,oC,mm,kg/ha,,
!,,,,,,replace,add,add,multiply,replace,replace,
!,Group,batch_run#,operation,variable,value or function,function arguments,,,,,,
@,C3MP,56,REPLACE,CO2Y,CTWN_FUN(),433,6.3,6.3,1.11,,S156,
@,C3MP,57,REPLACE,CO2Y,CTWN_FUN(),871,1.4,1.4,0.71,,S157,
@,C3MP,58,REPLACE,CO2Y,CTWN_FUN(),475,-0.2,-0.2,1.11,,S158,
@,C3MP,59,REPLACE,CO2Y,CTWN_FUN(),856,7.0,7.0,0.79,,S159,
@,C3MP,60,REPLACE,CO2Y,CTWN_FUN(),829,7.3,7.3,0.76,,S160,
@,C3MP,61,REPLACE,CO2Y,CTWN_FUN(),847,4.5,4.5,0.55,,S161,
@,C3MP,62,REPLACE,CO2Y,CTWN_FUN(),648,-0.3,-0.3,0.79,,S162,
@,C3MP,63,REPLACE,CO2Y,CTWN_FUN(),629,-0.5,-0.5,1.05,,S163,
@,C3MP,64,REPLACE,CO2Y,CTWN_FUN(),861,0.6,0.6,1.47,,S164,
@,C3MP,65,REPLACE,CO2Y,CTWN_FUN(),355,-0.8,-0.8,1.18,,S165,
@,C3MP,66,REPLACE,CO2Y,CTWN_FUN(),638,5.1,5.1,1.20,,S166,
@,C3MP,67,REPLACE,CO2Y,CTWN_FUN(),719,0.2,0.2,1.06,,S167,
@,C3MP,68,REPLACE,CO2Y,CTWN_FUN(),783,4.4,4.4,1.00,,S168,
@,C3MP,69,REPLACE,CO2Y,CTWN_FUN(),482,6.1,6.1,1.37,,S169,
@,C3MP,70,REPLACE,CO2Y,CTWN_FUN(),399,2.4,2.4,0.94,,S170,
@,C3MP,71,REPLACE,CO2Y,CTWN_FUN(),798,6.6,6.6,0.66,,S171,
@,C3MP,72,REPLACE,CO2Y,CTWN_FUN(),887,1.7,1.7,1.24,,S172,
@,C3MP,73,REPLACE,CO2Y,CTWN_FUN(),563,1.8,1.8,1.01,,S173,
@,C3MP,74,REPLACE,CO2Y,CTWN_FUN(),898,5.9,5.9,0.84,,S174,
@,C3MP,75,REPLACE,CO2Y,CTWN_FUN(),526,3.5,3.5,1.19,,S175,
@,C3MP,76,REPLACE,CO2Y,CTWN_FUN(),394,1.2,1.2,0.60,,S176,
@,C3MP,77,REPLACE,CO2Y,CTWN_FUN(),554,5.2,5.2,0.50,,S177,
@,C3MP,78,REPLACE,CO2Y,CTWN_FUN(),679,0.4,0.4,1.09,,S178,
@,C3MP,79,REPLACE,CO2Y,CTWN_FUN(),727,7.2,7.2,1.14,,S179,
@,C3MP,80,REPLACE,CO2Y,CTWN_FUN(),663,0.9,0.9,1.07,,S180,
@,C3MP,81,REPLACE,CO2Y,CTWN_FUN(),514,-0.4,-0.4,1.40,,S181,
@,C3MP,82,REPLACE,CO2Y,CTWN_FUN(),426,-0.6,-0.6,1.12,,S182,
@,C3MP,83,REPLACE,CO2Y,CTWN_FUN(),406,5.7,5.7,0.99,,S183,
@,C3MP,84,REPLACE,CO2Y,CTWN_FUN(),754,5.4,5.4,0.56,,S184,
@,C3MP,85,REPLACE,CO2Y,CTWN_FUN(),621,5.5,5.5,1.21,,S185,
@,C3MP,86,REPLACE,CO2Y,CTWN_FUN(),380,7.6,7.6,0.64,,S186,
@,C3MP,87,REPLACE,CO2Y,CTWN_FUN(),444,6.0,6.0,0.73,,S187,
@,C3MP,88,REPLACE,CO2Y,CTWN_FUN(),815,2.7,2.7,1.02,,S188,
@,C3MP,89,REPLACE,CO2Y,CTWN_FUN(),645,7.5,7.5,1.00,,S189,
@,C3MP,90,REPLACE,CO2Y,CTWN_FUN(),670,-1.0,-1.0,1.29,,S190,
@,C3MP,91,REPLACE,CO2Y,CTWN_FUN(),802,4.1,4.1,1.28,,S191,
@,C3MP,92,REPLACE,CO2Y,CTWN_FUN(),655,2.2,2.2,1.48,,S192,
@,C3MP,93,REPLACE,CO2Y,CTWN_FUN(),689,3.9,3.9,0.65,,S193,
@,C3MP,94,REPLACE,CO2Y,CTWN_FUN(),587,1.7,1.7,1.43,,S194,
@,C3MP,95,REPLACE,CO2Y,CTWN_FUN(),774,0.3,0.3,0.56,,S195,
@,C3MP,96,REPLACE,CO2Y,CTWN_FUN(),709,4.9,4.9,0.53,,S196,
@,C3MP,97,REPLACE,CO2Y,CTWN_FUN(),852,6.2,6.2,1.17,,S197,
@,C3MP,98,REPLACE,CO2Y,CTWN_FUN(),599,2.2,2.2,1.39,,S198,
@,C3MP,99,REPLACE,CO2Y,CTWN_FUN(),737,1.1,1.1,1.06,,S199,
